"ow_esri_emission_esri_ew_rank","ew_esri_emission_esri_ew_rank"
1.478848993298e-05,7.67763345245825e-08
1.68134315373786e-05,1.36209749558089e-06
1.76297093786355e-05,1.79063928448394e-06
1.94396207859166e-05,2.22186062479942e-06
0.00100899385135798,6.06017764221081e-05
0.00104462243047024,0.000199947606140414
0.00106301892267726,0.000206250637162978
0.00175118156869481,0.00040771536910031
0.0027196811345185,0.000507304651122843
0.00345629948944761,0.000634012903513419
0.00352224661638418,0.00229753826791862
0.00410906324707062,0.0025266681302463
0.00443928490875136,0.00260266704967218
0.00464974449160077,0.00421953009785454
0.00469047458308528,0.00424368174884337
0.00469890240629421,0.00427280926364686
0.00469965388890144,0.00429499174028089
0.00484923398207564,0.0043647347845537
0.0054618798180024,0.00457745806111415
0.00546620511967084,0.00458536913758778
0.00797713954624658,0.00590792878951921
0.00800816824122388,0.00594143732846716
0.0201897030622073,0.0191567077472433
0.0202790066973066,0.0192055593213853
0.0202794131270508,0.0192479735663023
0.0203253463277026,0.0192860406419827
0.0203951012120242,0.0193323762893178
0.0209800740767083,0.0197494810213864
0.02109827335009,0.0198382780206123
0.0211828227809738,0.0198616680823565
0.0211870957309719,0.0198709071400664
0.0212327258139095,0.019899881040056
0.0236645640933328,0.0210485629464113
0.023692548854474,0.0210757960257383
0.0264360288708113,0.0229468786633686
0.0265069164761162,0.0230013544667831
0.0271537753024842,0.0230684155116297
0.0271576116488385,0.023077661096801
0.0285443421829142,0.0237796220837169
0.0298459605113786,0.0249022983351785
0.0298711104009737,0.0249316300175551
0.0310635523832283,0.0258277377988952
0.0310665975940562,0.0258338326765639
0.0312455949191926,0.025871460942415
0.0315507929422481,0.0262068505501959
0.0320042837327593,0.0264554451487401
0.0325297194660089,0.026698269131203
0.0325644943552696,0.0267242929086983
0.0331726956745763,0.0271151268065511
0.0382500268429509,0.0304419708757777
0.0383811714044488,0.0305502208554465
0.0384229110008754,0.0305575024491505
0.0397530924534109,0.0314559992159484
0.0399335727563996,0.0315359786564673
0.0399547759465984,0.0315804378235553
0.0399934383133444,0.0316489536113614
0.0402319995425744,0.0320256058540849
0.0403499672631775,0.032087083908269
0.0409345564277352,0.0325247539518797
0.0414575505139546,0.0328165781769947
0.0423238727628113,0.0330042961185142
0.0423819250459575,0.0330518231682796
0.0448220518150557,0.0347108653662213
0.045028206288401,0.0350081740541382
0.0460048022095481,0.0358671130453681
0.0460798003573333,0.0359153437724525
0.0466332248275883,0.0363995018872373
0.0567575227317946,0.0443595558474563
0.0594981306242327,0.0459073256771645
0.0598159286232485,0.0460584638875267
0.0599145465692256,0.0461765909052434
0.0599461443168489,0.0462844773635123
0.0600184316133622,0.0464149154918512
0.0607752489846473,0.0469626203629993
0.0609026524949001,0.0470820040819872
0.0609142840067422,0.047087502207308
0.0611559813089228,0.0472315789487874
0.0673428204003828,0.054174078993755
0.0687151106548324,0.0554725266014733
0.0695439998637895,0.0566068347661254
0.0702080351634456,0.0570348820058494
0.0715794060624022,0.0575378165392834
0.0716188587105122,0.0575460845020161
0.0718464974489337,0.0577395887492343
0.080181804216582,0.0638122997678773
0.0809163590162515,0.0643700646626087
0.0809573266892501,0.0644409088524078
0.0810307765526247,0.06459114545692
0.0821482027906492,0.0660637343174586
0.0821660972545007,0.0661123732931283
0.0823560351678273,0.0664720013754939
0.0824318395314506,0.0668285355866385
0.0950997447361269,0.08086743468057
0.0990518554739627,0.0837118416226657
0.0991658959403363,0.0837837809451109
0.112773518340504,0.0991944506782645
0.114256978422426,0.0999255606108598
0.114832118978653,0.1003652551956
0.117212393599842,0.101465591941952
0.118417497604447,0.102632805683033
0.346214465881566,0.297349823566024
0.346357594648803,0.297396305731341
0.347418242763011,0.298199106765046
0.347769787284195,0.299250047254909
0.348117876278541,0.299443917036403
0.348472377578926,0.299560827184439
0.355330205170848,0.302164768578751
0.356076222942401,0.303134441209908
0.362198054445356,0.305851227152659
0.363452096944948,0.30694496821136
0.363675673574394,0.307077384121186
0.363799355865171,0.307139045014426
0.364089453771739,0.307264513551116
0.364504476034332,0.307725422498591
0.379347785819093,0.315071667643362
0.380031069618896,0.315187999888936
0.381457380088689,0.315911510792407
0.381660972723914,0.3161179374034
0.382217666525945,0.317037175531643
