"ow_esri_emission_esri_ow_rank","ew_esri_emission_esri_ow_rank"
2.02494160439857e-06,1.28532116105631e-06
2.54951195507994e-05,0.000127726575958666
2.59051460181794e-05,0.000170142643450192
0.000108844989337272,0.00185124516003858
0.000109657401698081,0.00185167361540916
0.000110386132650763,0.00187385761870481
0.000112195843807984,0.00187428850615582
0.000359973995049317,0.00352877463040566
0.000376580714587101,0.00353372828144327
0.000385010873102922,0.00356286295405222
0.000400000732081088,0.00356310746481208
0.00138880220717378,0.00361818676555575
0.00204497526008367,0.00379024353335376
0.00204931213570439,0.00379816899429209
0.00207749752287109,0.00383099249671064
0.00207882667420824,0.00383484609174186
0.00211912291558792,0.00385875212766586
0.00212346520566303,0.00386903490818212
0.0139165200824287,0.0160515837011763
0.0139206212352416,0.0160608259952559
0.0147304028602598,0.0166102274008405
0.0162704462952929,0.0174049889081093
0.0173671350979869,0.0179908942474415
0.0174125095584575,0.0180287322252624
0.0180253964811257,0.0184533547174711
0.0181408107639282,0.0184630685660645
0.0182088070298165,0.0185085816364574
0.0200323864018924,0.0193697747152142
0.0201215778538019,0.0194187427377321
0.0202391206071626,0.0195073109901532
0.0230425836773472,0.0213931106460931
0.0234548996415024,0.0216085799838958
0.0234761007712769,0.0216532291606566
0.0234986258402935,0.0216815306795837
0.0235265552199187,0.0217087782301789
0.0235719344830489,0.0217371687215789
0.0240291074044144,0.0218750034072826
0.0243343687792526,0.0222103707758552
0.0256361277266905,0.0233330193710995
0.0256754333357943,0.0234019976154415
0.0258366158464694,0.0235265166104357
0.0282084975541157,0.0246609380527844
0.0282795231879161,0.0247154993590541
0.0285229079302525,0.0250958083695033
0.0286564506629435,0.0252068432504535
0.0286941051706394,0.0253442732797471
0.0287288505750377,0.025370293474396
0.0311530773149848,0.0268472462192871
0.0362481168946148,0.0301802837128863
0.0368292909985898,0.0305502717560814
0.0369105790138538,0.0305733059966379
0.037472099273924,0.0308310570616519
0.0376765573225286,0.0311279188243241
0.0377186620349514,0.0311353784781823
0.0390515903023503,0.0320354660566929
0.0391682726653369,0.0320958901435427
0.039599218459251,0.0323326034206999
0.0401844699832998,0.032770662287254
0.0402434697229096,0.0328183157797912
0.0404235117290141,0.0328978567861489
0.0409492017867654,0.0331905920336088
0.0410448212065903,0.0333584368519808
0.0416058931894148,0.0338223386369814
0.0416832205581368,0.0341909170633299
0.0417865329756891,0.0343127161798351
0.0530691889649522,0.0432284119207306
0.0539068846690224,0.0443654892490306
0.0544198318787466,0.0447868806920245
0.0545913104208617,0.0448245877949008
0.0609612072997415,0.0517205841488762
0.0610399762796036,0.0517779452922946
0.0635013930009429,0.0531703148230289
0.06351531788499,0.0532176927251328
0.0636248868362737,0.0533306519899643
0.065275943313596,0.0543858944256204
0.0666315964729354,0.0556847460677592
0.0672543506461433,0.0557486103946844
0.0674929591029856,0.0558887578476107
0.0675327082791144,0.0558975008696971
0.0676054985054343,0.0560476481398721
0.0679374359168972,0.0562478564346755
0.0688625472541431,0.0569465312524945
0.0689074246627016,0.0569888019359579
0.0697509461768035,0.0571710337464204
0.069941577830358,0.0575304878061543
0.0699828817835697,0.0576010168264447
0.071284500673052,0.0592949986171472
0.0815388576409249,0.0709473324659572
0.0823659615315548,0.0716037099855511
0.08416867493748,0.073118271962545
0.0921849681296288,0.078660602415666
0.0961595798955143,0.0815229519043794
0.0979969491510748,0.0839347704599765
0.0981114213345707,0.0840070191983578
0.0996144439358435,0.0856235579400898
0.100202988530291,0.0860961716197768
0.101668599551536,0.0873759141018551
0.115173867868085,0.102671636328273
0.116566174597826,0.103259018828605
0.345122165535901,0.297342336199471
0.345473125901684,0.298392976734997
0.34561622877736,0.298439455477599
0.346363965940971,0.298718171941215
0.346711986966717,0.298912036137586
0.347458054427891,0.29988173556905
0.348863942509354,0.300413613711657
0.349218442427012,0.300530522465264
0.350467087012126,0.301622077096138
0.35068880202018,0.301753608741851
0.35673163702206,0.304453113522539
0.363675673574394,0.307077384121186
0.364090594438296,0.30753823076689
0.364214310306626,0.307599913831237
0.364897692744487,0.307715636505306
0.366323063609997,0.308443218028521
0.381165183728421,0.315785352623649
0.381364263734137,0.315982117016868
0.381660972723914,0.3161179374034
0.382217666525945,0.317037175531643
