"ow_esri_esri_ew_rank","ew_esri_esri_ew_rank"
1.478848993298e-05,7.67763345245825e-08
1.56047677742369e-05,5.05318123427625e-07
1.7414679181518e-05,9.3653946374311e-07
1.94396207859166e-05,2.22186062479942e-06
2.1324581906059e-05,6.18040367782413e-06
2.57616075273406e-05,1.42732899691716e-05
3.38511338453961e-05,2.63280396205715e-05
3.84764008590289e-05,3.69320135545147e-05
5.99892103846319e-05,4.82255587567612e-05
6.06636759412467e-05,7.03641491363184e-05
0.00010276122022248,9.55179365671321e-05
0.000141247282862074,0.000124301250610832
0.000239942572068533,0.00015330352517142
0.000247799336167042,0.000180457395644164
0.000278167693004335,0.000212322095574129
0.000308491876637139,0.000245638653181989
0.000352824811671824,0.000272496125512614
0.000398687805507931,0.000308418079320646
0.000456647729524505,0.000350755477237589
0.00045705618154778,0.000393173180071202
0.000710631564055307,0.000445409314399678
0.000736443049469648,0.000499631075620285
0.00172261866783557,0.000554097303820789
0.0018356841654257,0.000616912962920531
0.00192388671793604,0.000674543756642484
0.00202952499217025,0.000732789445126255
0.00206440910911935,0.000793168921649353
0.00218791272412697,0.00086272878668486
0.00236037216985139,0.000935076738429487
0.00305298473699989,0.00100885627817247
0.00314046530655593,0.00106960446470702
0.0033009575559896,0.00114566707262425
0.00364164801309983,0.00122719671705039
0.00375709030414795,0.00130962496539389
0.0038907841785199,0.00140662039755533
0.00396056942199608,0.00150068183410695
0.00419825538518512,0.00160337897341631
0.00427221267635554,0.00166772448819741
0.00429948142960732,0.00179716733196632
0.00444747000381182,0.001926591278219
0.0051624924310396,0.00205433960159319
0.00608232819086756,0.00212225395209319
0.00627755780660276,0.00227236683871594
0.00645214645026978,0.002389007980888
0.0064997055877765,0.00253956254311753
0.00662141457965763,0.00270967987417673
0.00701498342906327,0.00287824713752651
0.00718681605303167,0.00305201211989415
0.00734133114152439,0.0032387098350051
0.00777037138233561,0.00344493169042047
0.0084214525275106,0.00366933957473268
0.00903142443149914,0.00379892653421088
0.00960528785836333,0.00401597478375399
0.0106021678771099,0.00423875666497589
0.0114153515373035,0.00454719810589503
0.0116944847607202,0.00487165054851066
0.0120174907997825,0.00522325995060004
0.0123499751232902,0.00553687998208669
0.0129761072484107,0.00585387127435875
0.0131235527637977,0.00598221950794978
0.0138334826889483,0.00636286027321876
0.0142322671517627,0.00650990766483965
0.0143420369682825,0.00690291263899186
0.0145472741562491,0.00709458993564765
0.0150451197928828,0.00753847395173563
0.0152807559106752,0.00796459746699563
0.0153915002036916,0.00810437638807428
0.0157875260599109,0.00859373587291658
0.0165016853315291,0.00905905701451532
0.0177191475360473,0.00939096649000978
0.0185511147106071,0.00976727037707324
0.0192862939704689,0.0102420750946265
0.020784382801927,0.0107529007146062
0.0227751835265586,0.0114567231471678
0.023380557063253,0.0118003563793536
0.023820149664882,0.012144980445925
0.0244504529762612,0.0126660869924175
0.0274744084198232,0.0145634411969188
0.0279723092286008,0.0148845774469379
0.0287512113205323,0.0152572443220786
0.0294986314977585,0.0157813424517178
0.030309853494451,0.0168416233021844
0.0317969649288129,0.0174528228991603
0.0326171965559763,0.0183139044895555
0.0343483451110563,0.0198553270763639
0.0378275100083775,0.0215402895299093
0.0388751337220435,0.0227442749183736
0.0410343211109449,0.0238126894372292
0.041100443276802,0.0254751148721543
0.0411314430969763,0.0269258736157653
0.0436211194292683,0.0281406480055775
0.0448795062204474,0.0297490520286064
0.0465466155324843,0.0314602306855399
0.048381286466429,0.0337471331750504
0.0502105390127993,0.0362155404707937
0.0526737136024283,0.0384440670149202
0.0594727887596865,0.0441789373460001
0.0619273125003455,0.0470475302944311
0.0650602179128482,0.0503930509407468
0.0660901698519075,0.0521955913766611
0.0787674437163131,0.0574439179847358
0.0883771337704534,0.0624510299206272
0.0894659318384085,0.0645049432101193
0.0919193776614171,0.0661919545278667
0.094747597104452,0.0696317382983332
0.101181157175426,0.0744115996517132
0.109338986405993,0.0797310105048451
0.113758639540734,0.0858899800928295
0.116013628805954,0.0881407137053118
0.135915588942251,0.0999806277551155
0.167846057812705,0.136315672542627
0.171303020563745,0.138983580195307
0.176762062140674,0.142977912202317
0.178972038143075,0.14529567382662
0.35106688095665,0.302937726899726
0.352566290563338,0.303062870328469
0.354122561229286,0.303809799531459
0.354681842873334,0.304881095444402
0.382217666525945,0.317037175531643
