"ow_esri_out_strength_rank","ew_esri_out_strength_rank"
0.000119961909417505,0.000170575807046601
0.000146057218749872,0.00022513370255823
0.000146819089328168,0.000247328724216299
0.00113451729178571,0.00030256282699849
0.0011937720064152,0.000345647329374517
0.00119417788452918,0.000388062837719679
0.00119558176684563,0.000391932668593072
0.00119639349053871,0.000392361176785394
0.00133020155039478,0.000489402350899297
0.00136104750326501,0.000522958034773776
0.00140168684182332,0.000552399976373771
0.0014035829632114,0.000553685311273089
0.00140539237819497,0.000554115641029587
0.0014100721970279,0.000564742855919209
0.00141775425586501,0.000575482559496954
0.00146950348795614,0.00073362628548631
0.0018789050446144,0.00123215256817297
0.00197575481956345,0.00128954652098658
0.00201111688946632,0.00135040874912815
0.002015495768505,0.00135841779707895
0.00208276408588781,0.0030227079950294
0.00298081521883493,0.00367824024518107
0.00299825112933537,0.00368367481702375
0.00300668038727149,0.00371280729138027
0.00310531244636985,0.00377930829045212
0.00321473356052468,0.00417796531622902
0.00327182761509787,0.00426336737539979
0.0138916578816997,0.00978998814620687
0.0139399114955613,0.00982656096590744
0.0139709728126973,0.00985865831586566
0.0139849327003763,0.00985865973063732
0.0140936494038609,0.00991803019661869
0.0141275771131146,0.00993226502566308
0.0143389706945923,0.0102313397601515
0.014575410714901,0.0103250696367089
0.014727188544981,0.0104004765727497
0.0147477942424928,0.010524789660546
0.0149206982560834,0.0106990595495668
0.0150156294771488,0.0107664971424409
0.0154158750829874,0.0109591949676998
0.0155690199703396,0.0110903856681327
0.0163145462197292,0.0114858362852069
0.0163552832956594,0.0115097345605325
0.0164078422511914,0.0115289739391807
0.0165193892577173,0.0130728072275525
0.0166195281157936,0.0131016922458412
0.0167427755478229,0.0131703750390375
0.0168271792334434,0.0132243226104607
0.0171537768198191,0.0135760320875392
0.0621232377506983,0.0562227415608463
0.0622944943902965,0.0564968420145705
0.0623844051924989,0.0566549976378249
0.0624291795807065,0.0566673783939567
0.0625267650978772,0.0567493298593333
0.0630914095664547,0.0572885545366667
0.0634250875590842,0.057610393848491
0.0635332796594504,0.0576193044377217
0.0649627813028906,0.0582719587397134
0.0652046805931592,0.0586093697149198
0.0698962584630665,0.0621440602996208
0.0700899616299085,0.0621793162782157
0.0702353939781529,0.0622856046838619
0.0716605661566647,0.0634577871291343
0.0904452429739805,0.074150644741983
0.0905994053224136,0.0742063039231691
0.0907038619700697,0.0742290845616714
0.0911771995209327,0.074362967264398
0.0912359992030082,0.0743726902476863
0.091728650925942,0.075969957353053
0.0981693968612963,0.0801899272026636
0.0984971479980025,0.0803332143013438
0.0986879899291562,0.0804485440558331
0.104429954577004,0.0852575946041958
0.104680889723276,0.085363461735214
0.104985151787507,0.0855498839002024
0.105250726681036,0.085600055640776
0.105974165946248,0.0858735916415751
0.10652430237837,0.0860630725875197
0.10676120060457,0.0862402557136623
0.107155019018764,0.0864206843460193
0.107678178590744,0.0865127412389029
0.108077453423822,0.0866577029802293
0.108764276139856,0.0867748276125439
0.109691183282856,0.0881731097541314
0.110205142077663,0.0885201763051775
0.110728346876298,0.0889658632722839
0.111651446350628,0.0891436772059327
0.116822391825164,0.0953476541205267
0.117151859417932,0.0955257016007261
0.117491028081501,0.0957566583484606
0.117963204118229,0.0970226233013866
0.323863875078329,0.290828423088027
0.3240382480333,0.290862724708003
0.325033313632868,0.291152047512497
0.325327346936946,0.291283339035343
0.325730417958241,0.291469982399993
0.32603285788458,0.291674003635254
0.326113265810933,0.291704362265372
0.327739461976528,0.292226430157698
0.328754332817379,0.293254494741976
0.329503825377273,0.294238773108728
0.329705326882093,0.294325337662879
0.33018476690128,0.294626423132806
0.331272892386288,0.295443616983322
0.33188075330711,0.295967853058352
0.332584141032559,0.296263039439053
0.333552773985251,0.296351608063993
0.335492654375529,0.297141735614324
0.335870071024867,0.297275024623531
0.337165143284947,0.298494826533616
0.338005610316131,0.29901111939038
0.338976076293234,0.299413127051424
0.340473228182447,0.299533954290746
0.341156136248308,0.299780313785149
0.343097004906248,0.300257268219821
0.346023867998271,0.301450124523744
0.347540906028754,0.302111871338689
0.354681842873334,0.304881095444402
0.382217666525945,0.317037175531643
